"income","current.single","trump.single","current.married","trump.married","diff.single","diff.married","pctincome.single","pctincome.married"
6460000,2509878.064,2113764.81,2495191.414,2094147.81,-396113.254,-401043.604,0.100278740863659,0.101150811016731
6470000,2513838.064,2117064.81,2499151.414,2097447.81,-396773.254,-401703.604,0.100292470434405,0.101163163313828
6480000,2517798.064,2120364.81,2503111.414,2100747.81,-397433.254,-402363.604,0.100306158146302,0.101175478090198
6490000,2521758.064,2123664.81,2507071.414,2104047.81,-398093.254,-403023.604,0.100319804190487,0.101187755516538
6500000,2525718.064,2126964.81,2511031.414,2107347.81,-398753.254,-403683.604,0.100333408756937,0.101199995762514
6510000,2529678.064,2130264.81,2514991.414,2110647.81,-399413.254,-404343.604,0.100346972034475,0.101212198996761
6520000,2533638.064,2133564.81,2518951.414,2113947.81,-400073.254,-405003.604,0.10036049421078,0.101224365386899
6530000,2537598.064,2136864.81,2522911.414,2117247.81,-400733.254,-405663.604,0.100373975472393,0.101236495099537
6540000,2541558.064,2140164.81,2526871.414,2120547.81,-401393.254,-406323.604,0.100387416004733,0.10124858830028
6550000,2545518.064,2143464.81,2530831.414,2123847.81,-402053.254,-406983.604,0.100400815992094,0.101260645153739
6560000,2549478.064,2146764.81,2534791.414,2127147.81,-402713.254,-407643.604,0.100414175617665,0.101272665823534
6570000,2553438.064,2150064.81,2538751.414,2130447.81,-403373.254,-408303.604,0.100427495063529,0.101284650472309
6580000,2557398.064,2153364.81,2542711.414,2133747.81,-404033.254,-408963.604,0.10044077451068,0.10129659926173
6590000,2561358.064,2156664.81,2546671.414,2137047.81,-404693.254,-409623.604,0.100454014139022,0.101308512352501
6600000,2565318.064,2159964.81,2550631.414,2140347.81,-405353.254,-410283.604,0.100467214127384,0.101320389904363
6610000,2569278.064,2163264.81,2554591.414,2143647.81,-406013.254,-410943.604,0.100480374653526,0.10133223207611
6620000,2573238.064,2166564.81,2558551.414,2146947.81,-406673.254,-411603.604,0.100493495894145,0.101344039025587
6630000,2577198.064,2169864.81,2562511.414,2150247.81,-407333.254,-412263.604,0.100506578024888,0.101355810909705
6640000,2581158.064,2173164.81,2566471.414,2153547.81,-407993.254,-412923.604,0.100519621220352,0.101367547884442
6650000,2585118.064,2176464.81,2570431.414,2156847.81,-408653.254,-413583.604,0.1005326256541,0.101379250104854
6660000,2589078.064,2179764.81,2574391.414,2160147.81,-409313.254,-414243.604,0.100545591498662,0.101390917725078
6670000,2593038.064,2183064.81,2578351.414,2163447.81,-409973.254,-414903.604,0.100558518925549,0.101402550898343
6680000,2596998.064,2186364.81,2582311.414,2166747.81,-410633.254,-415563.604,0.100571408105255,0.101414149776974
