"pctile_round","pct_cat","hhinc","medinc","current","trump","tax_diff","pct_tax_diff","tax_diff_total","inc_round"
45,"(44,45]",50190.8957189901,50032,4373.96018660812,3265.32109330406,-1108.63909330406,0.0241969934544342,-2007929.94237742,50000
46,"(45,46]",51590.0853835022,51646,4639.80622286541,3503.17468596237,-1136.63153690304,0.0242093555413019,-2058628.91736592,52000
47,"(46,47]",52900.7507163324,53000,4888.83263610315,3728.60912320917,-1160.22351289398,0.024165426865398,-2101357.91301309,53000
48,"(47,48]",54479.7726618705,54480,5188.8468057554,4000.20089784173,-1188.64590791367,0.0241150017654681,-2152835.60159434,54000
49,"(48,49]",55666.2694524496,55710.5,5414.28119596542,4204.27834582133,-1210.00285014409,0.0240787980062037,-2191516.57905679,56000
50,"(49,50]",57306.784992785,57210,5725.97914862915,4486.44701875902,-1239.53212987013,0.024030990514087,-2244999.02009362,57000
51,"(50,51]",58953.8994252874,59000,6038.9308908046,4769.75070114943,-1269.18018965517,0.0239854003758504,-2298696.59158946,59000
52,"(51,52]",60114.9769784173,60017,6259.53562589928,4969.45604028777,-1290.07958561151,0.0239545003182146,-2336548.87658625,60000
53,"(52,53]",61424.654676259,61372,6508.37438848921,5194.72060431655,-1313.65378417266,0.0239211085815318,-2379245.67434883,61000
54,"(53,54]",63081.1401734104,63014,6823.10663294798,5479.63610982659,-1343.47052312139,0.0238806072859716,-2433248.75188849,63000
55,"(55,56]",64726.981348637,65000,7135.81645624103,5762.72079196557,-1373.09566427547,0.023842169800117,-2486904.81392861,65000
56,"(56,57]",66110.2836468886,66042,7398.64389290883,6000.64878726483,-1397.99510564399,0.0238112991003334,-2532001.84701567,66000
57,"(56,57]",67869.5329512894,68000,7732.90126074498,6303.23966762178,-1429.66159312321,0.0237736315912794,-2589355.12705375,68000
58,"(57,58]",69676.4848484848,69956,8076.22212121212,6614.03539393939,-1462.18672727273,0.023736745949573,-2648263.55914235,70000
59,"(58,59]",71188.6426512968,71104.5,8363.5321037464,6874.12653602305,-1489.40556772334,0.0237072406076046,-2697561.41005495,71000
60,"(59,60]",72859.7054380665,72958,8681.03403323263,7161.54933534743,-1519.4846978852,0.0236759238998476,-2752039.7217593,73000
61,"(60,61]",74699.3895747599,74994,9030.57401920439,7477.97500685871,-1552.59901234568,0.0236429035797051,-2812015.25746619,75000
62,"(61,62]",76187.5208633094,76080,9313.31896402878,7733.93358848921,-1579.38537553957,0.0236173222225897,-2860529.82007656,76000
63,"(62,63]",78123.5093795094,78055,9681.15678210678,8066.92361327561,-1614.23316883117,0.0235853601897498,-2923644.97450202,78000
64,"(63,64]",79890.5266955267,80000,10016.8900721501,8370.85059163059,-1646.03948051948,0.0235573962723118,-2981251.49945795,80000
